host_id,host_name,host_since_year,host_since_anniversary,Customer Since,Age in years,id,neighbourhood_cleansed,city,city_translated,state,state_translated,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,customers @ 50% review rate,"Daily Rev per 2 guests, unless limited to 1",Min Nights,Total Rev,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,zipcode_prefix,zipcode_dummy,Zipcode_mapped_values
2404248,Christy,2012,5/18,5/18/12,5.16,485636,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053,Netherlands,52.36372647,4.874930374,Apartment,Entire home/apt,2,1,1,1,Real Bed,78,1,0,4,98,78,312,"30,576",within an hour,1,49,94,10,10,10,10,10,9,1053,29,West
2405326,Judith,2012,5/18,5/18/12,5.16,3159928,Bos en Lommer,Amsterdam,Amsterdam,North Holland,North Holland,1055 JC,Netherlands,52.37952473,4.849927071,Apartment,Entire home/apt,2,1,1,1,Real Bed,95,2,25,2,10,95,190,"1,900",within a day,0.75,5,92,10,10,9,9,9,9,1055,31,West
2408429,Safinaz,2012,5/18,5/18/12,5.16,3029737,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1018 JM,Netherlands,52.36364449,4.911307021,Apartment,Entire home/apt,6,1.5,2,3,Real Bed,125,4,20,1,18,125,125,"2,250",within an hour,1,9,70,7,6,9,8,6,6,1018,11,City Center
2408429,Safinaz,2012,5/18,5/18/12,5.16,593101,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1018,Netherlands,52.37275227,4.91996827,Apartment,Private room,2,1,1,1,Real Bed,65,1,25,2,80,90,180,"14,400",within an hour,1,40,97,9,10,10,10,9,10,1018,11,City Center
2410944,Eva,2012,5/19,5/19/12,5.15,487103,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1058,Netherlands,52.35945282,4.852943262,Apartment,Entire home/apt,4,1,1,1,Real Bed,100,2,20,4,16,100,400,"6,400",N/A,N/A,8,100,10,10,10,10,10,10,1058,34,West
2411128,Joyce,2012,5/19,5/19/12,5.15,953041,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1015 DT,Netherlands,52.37613078,4.886615511,Boat,Entire home/apt,2,1,1,1,Real Bed,295,1,0,1,84,295,295,"24,780",within an hour,0.9,42,95,10,9,10,10,10,9,1015,8,City Center
2411384,Kim,2012,5/19,5/19/12,5.15,715799,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36101611,4.884788191,Apartment,Entire home/apt,2,1,1,1,Real Bed,175,2,75,2,8,175,350,"2,800",within a day,0.86,4,100,10,10,10,10,10,10,1017,10,City Center
2411547,Jossie,2012,5/19,5/19/12,5.15,3089360,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1056,Netherlands,52.36894637,4.849671158,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,1,0,2,28,100,200,"5,600",within a few hours,1,14,83,8,9,9,9,9,8,1056,32,West
2411729,Claire,2012,5/19,5/19/12,5.15,487325,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016,Netherlands,52.37318071,4.875662464,Apartment,Entire home/apt,4,1,2,2,Real Bed,140,2,35,1,30,140,140,"4,200",within a few hours,0.96,15,98,10,10,10,10,10,9,1016,9,City Center
2418579,Julia,2012,5/20,5/20/12,5.15,489418,Bos en Lommer,Amsterdam,Amsterdam,North Holland,North Holland,1056,Netherlands,52.37593538,4.850102039,Apartment,Entire home/apt,5,1,2,4,Real Bed,79,2,20,2,192,79,158,"30,336",N/A,N/A,96,88,8,8,9,10,9,9,1056,32,West
2421854,Margreet,2012,5/20,5/20/12,5.15,489832,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1054,Netherlands,52.36361746,4.867616949,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,1,25,3,8,125,375,"3,000",within a day,1,4,100,10,10,10,10,9,9,1054,30,West
2426121,Danny,2012,5/21,5/21/12,5.15,1107043,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1013 AS,Netherlands,52.39233692,4.892021898,Apartment,Entire home/apt,4,1,2,2,Real Bed,95,4,50,2,54,95,190,"10,260",within a day,0.77,27,92,10,10,10,10,9,9,1013,6,City Center
2427338,Felicia,2012,5/21,5/21/12,5.15,4656557,Oud-Noord,Amsterdam,Amsterdam,Noord-Holland,North Holland,1025 RW,Netherlands,52.39014954,4.923085251,Cabin,Entire home/apt,2,1,0,1,Real Bed,65,1,0,2,2,65,130,260,within an hour,1,1,80,10,10,10,10,10,8,1025,17,North
2435454,Wies,2012,5/22,5/22/12,5.14,492795,Zuid,Amsterdam,Amsterdam,Noord-Holland,North Holland,1072,Netherlands,52.3594107,4.885931373,Apartment,Entire home/apt,2,1,1,4,Real Bed,120,2,37,2,6,120,240,"1,440",within a day,1,3,100,10,9,10,10,10,9,1072,47,South
2437130,Derek,2012,5/22,5/22/12,5.14,496497,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1011 BT,Netherlands,52.37682743,4.903623713,Boat,Private room,2,1,1,1,Real Bed,167,2,0,3,52,167,501,"26,052",within a day,1,26,96,10,9,10,10,10,9,1011,4,City Center
2439446,Maarten,2012,5/22,5/22/12,5.14,1036251,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1078,Netherlands,52.34769793,4.909106878,Apartment,Private room,2,1,1,1,Real Bed,59,1,10,3,4,69,207,828,within a day,0.78,2,90,9,10,9,10,7,9,1078,53,South
2439449,Henriette,2012,5/22,5/22/12,5.14,570753,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1075,Netherlands,52.34933932,4.869131622,Bed & Breakfast,Private room,3,1,1,2,Real Bed,55,1,10,3,242,65,195,"47,190",within an hour,1,121,97,10,10,10,10,10,10,1075,50,South
2444422,Frans,2012,5/23,5/23/12,5.14,3521367,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,Noord-Holland,North Holland,1072XW,Netherlands,52.35568572,4.889334969,Apartment,Entire home/apt,5,1.5,2,3,Real Bed,200,4,20,3,10,200,600,"6,000",within an hour,1,5,92,10,9,10,10,9,9,1072,47,South
2444422,Frans,2012,5/23,5/23/12,5.14,2693508,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,Noord-Holland,North Holland,1072,Netherlands,52.35635108,4.890502817,Apartment,Entire home/apt,4,1,1,2,Real Bed,145,2,25,2,50,145,290,"14,500",within an hour,1,25,91,9,9,10,10,10,8,1072,47,South
2444422,Frans,2012,5/23,5/23/12,5.14,2816644,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,Noord-Holland,North Holland,1072 XW,Netherlands,52.35703873,4.891227509,Apartment,Entire home/apt,4,1,1,3,Real Bed,145,3,25,4,18,145,580,"10,440",within an hour,1,9,91,9,10,9,9,10,8,1072,47,South
2446524,Fleur,2012,5/23,5/23/12,5.14,592804,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36066311,4.901910462,Apartment,Entire home/apt,7,2,4,4,Real Bed,250,4,50,3,58,250,750,"43,500",within a day,1,29,97,10,10,10,10,10,9,1017,10,City Center
2449055,Marieke,2012,5/23,5/23/12,5.14,495862,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1054,Netherlands,52.36061885,4.873053006,Apartment,Entire home/apt,4,1,2,4,Real Bed,200,4,0,4,8,200,800,"6,400",within a few hours,0.86,4,100,10,9,10,10,10,10,1054,30,West
2452766,Stef,2012,5/24,5/24/12,5.14,4960963,Oostelijk Havengebied - Indische Buurt,Amsterdam,Amsterdam,Noord-Holland,North Holland,1094 ed,Netherlands,52.36365305,4.932762056,Apartment,Entire home/apt,2,1,1,2,Real Bed,49,1,0,1,10,49,49,490,within a day,0.7,5,92,10,10,9,9,9,10,1094,63,East
2453971,Kim,2012,5/24,5/24/12,5.14,496953,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053,Netherlands,52.36158967,4.876629521,Apartment,Entire home/apt,2,1,2,1,Real Bed,300,2,25,1,36,300,300,"10,800",N/A,N/A,18,97,10,10,10,10,10,10,1053,29,West
2456657,Lisanne,2012,5/24,5/24/12,5.14,530611,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016,Netherlands,52.37518432,4.884271111,Apartment,Entire home/apt,2,1,1,1,Real Bed,119,2,0,4,28,119,476,"13,328",N/A,N/A,14,98,9,10,10,10,10,9,1016,9,City Center
2460631,Lardy,2012,5/25,5/25/12,5.14,552145,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1057,Netherlands,52.36694034,4.850333077,Apartment,Entire home/apt,2,1,1,1,Real Bed,69,2,30,5,30,69,345,"10,350",N/A,N/A,15,98,10,10,9,10,9,9,1057,33,West
2460925,Hans,2012,5/25,5/25/12,5.14,498514,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1079,Netherlands,52.34071605,4.909998754,Apartment,Entire home/apt,4,1,2,2,Real Bed,100,2,30,3,10,100,300,"3,000",within a few hours,1,5,100,10,10,10,10,9,10,1079,54,South
2460974,Marjanne,2012,5/25,5/25/12,5.14,730965,Oostelijk Havengebied - Indische Buurt,Amsterdam,Amsterdam,North Holland,North Holland,1094,Netherlands,52.36416781,4.931985405,Apartment,Entire home/apt,2,1,1,1,Real Bed,90,2,0,2,50,90,180,"9,000",within a day,0.5,25,91,9,10,10,10,9,9,1094,63,East
2461841,Lara,2012,5/25,5/25/12,5.14,498759,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1052 HL,Netherlands,52.37699536,4.874715568,Apartment,Private room,2,1,1,1,Real Bed,56,1,30,4,116,86,344,"39,904",within a day,0.85,58,89,9,9,10,10,9,9,1052,28,West
2463913,Herman,2012,5/25,5/25/12,5.14,1478860,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1012 ET,Netherlands,52.37362155,4.89192963,Apartment,Entire home/apt,2,1,1,1,Real Bed,130,1,0,4,20,130,520,"10,400",N/A,N/A,10,98,10,9,10,9,10,9,1012,5,City Center
2466907,Bart,2012,5/26,5/26/12,5.13,667868,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1075,Netherlands,52.35348075,4.854406644,Apartment,Entire home/apt,3,1,1,1,Real Bed,189,1,0,2,4,189,378,"1,512",within an hour,1,2,97,10,9,10,10,9,10,1075,50,South
2467597,Joline,2012,5/26,5/26/12,5.13,667928,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1015,Netherlands,52.38093227,4.886531421,Apartment,Entire home/apt,2,1,1,1,Real Bed,110,1,0,2,26,110,220,"5,720",a few days or more,0.25,13,97,10,10,10,10,10,9,1015,8,City Center
2469696,Rosemarijn,2012,5/26,5/26/12,5.13,500516,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36551498,4.885977956,Apartment,Entire home/apt,2,1,1,4,Real Bed,129,2,25,1,28,129,129,"3,612",within a day,0.8,14,96,10,10,10,9,10,10,1017,10,City Center
2473044,Carolien,2012,5/27,5/27/12,5.13,550441,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1075,Netherlands,52.35624883,4.854860589,Apartment,Entire home/apt,3,1,2,2,Real Bed,90,1,20,2,38,110,220,"8,360",within a few hours,1,19,99,10,9,10,10,10,9,1075,50,South
2473696,Bart,2012,5/27,5/27/12,5.13,557672,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016,Netherlands,52.37045924,4.883844024,House,Entire home/apt,4,2,2,2,Real Bed,250,1,0,3,2,250,750,"1,500",within a few hours,0.83,1,100,10,10,10,10,10,10,1016,9,City Center
2475901,Tom,2012,5/27,5/27/12,5.13,501404,Oud-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1092,Netherlands,52.35801773,4.922825684,Apartment,Entire home/apt,3,1,2,2,Real Bed,75,2,15,5,16,75,375,"6,000",N/A,N/A,8,99,10,10,10,10,9,10,1092,61,East
2478028,Evelina,2012,5/27,5/27/12,5.13,3831385,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1012,Netherlands,52.37522439,4.900713275,Apartment,Entire home/apt,4,1,1,2,Real Bed,96,2,20,3,26,96,288,"7,488",within a few hours,0.9,13,85,9,8,9,10,10,8,1012,5,City Center
2478096,Robert,2012,5/27,5/27/12,5.13,3322732,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013 LA,Netherlands,52.38663957,4.887581741,Apartment,Entire home/apt,4,1,2,2,Real Bed,135,1,0,4,2,135,540,"1,080",within a few hours,1,1,100,10,10,10,10,10,10,1013,6,City Center
2480643,Emma,2012,5/28,5/28/12,5.13,1149289,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1018 LZ,Netherlands,52.36937878,4.919828357,Apartment,Entire home/apt,3,1.5,2,2,Real Bed,95,1,20,1,52,115,115,"5,980",within an hour,1,26,94,10,9,10,10,9,9,1018,11,City Center
2483843,Alban,2012,5/28,5/28/12,5.13,503629,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1071,Netherlands,52.35364239,4.878240646,Apartment,Entire home/apt,3,1,2,2,Real Bed,115,2,20,2,8,115,230,"1,840",within a day,0.7,4,95,10,10,10,10,10,10,1071,46,South
2485229,Brian,2012,5/28,5/28/12,5.13,609250,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1054,Netherlands,52.36920015,4.876363697,Apartment,Entire home/apt,4,1,2,2,Real Bed,205,1,20,2,34,225,450,"15,300",within an hour,1,17,100,10,10,10,10,10,10,1054,30,West
2491847,P & M,2012,5/29,5/29/12,5.13,1136047,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1078,Netherlands,52.34754915,4.896706435,Apartment,Entire home/apt,4,1,2,2,Real Bed,150,2,0,3,30,150,450,"13,500",within an hour,1,15,91,10,10,10,10,9,9,1078,53,South
2492723,Irene,2012,5/29,5/29/12,5.13,505650,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1071,Netherlands,52.35499518,4.876105688,Apartment,Entire home/apt,2,1,1,1,Real Bed,105,2,40,3,26,105,315,"8,190",within a few hours,1,13,98,9,10,10,10,10,10,1071,46,South
2493425,Simone,2012,5/29,5/29/12,5.13,505804,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1052 BH,Netherlands,52.38479734,4.877257048,Apartment,Entire home/apt,4,1,1,3,Real Bed,65,2,15,3,78,65,195,"15,210",within a day,0.7,39,96,10,9,10,10,9,9,1052,28,West
2499050,Tijs,2012,5/30,5/30/12,5.12,506885,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1074,Netherlands,52.3621027,4.897235292,Apartment,Private room,4,1,1,2,Real Bed,150,2,75,1,52,150,150,"7,800",within a day,0.64,26,88,8,7,9,9,9,8,1074,49,South
2501656,Stephanie,2012,5/30,5/30/12,5.12,507598,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016,Netherlands,52.37862464,4.879444965,Apartment,Entire home/apt,5,1,2,3,Real Bed,350,4,50,4,74,350,"1,400","103,600",within an hour,1,37,95,10,9,10,10,10,9,1016,9,City Center
2503918,Marloes,2012,5/30,5/30/12,5.12,508033,Watergraafsmeer,Amsterdam,Amsterdam,North Holland,North Holland,1098,Netherlands,52.35295064,4.934038952,House,Private room,2,0.5,1,1,Real Bed,55,1,0,3,144,55,165,"23,760",within an hour,1,72,93,9,9,10,10,9,9,1098,67,East
2504228,Neven,2012,5/30,5/30/12,5.12,4213099,Zuid,Amsterdam,Amsterdam,Noord-Holland,North Holland,1058KJ,Netherlands,52.35210169,4.85089246,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,1,0,2,4,100,200,800,within a day,0.78,2,100,10,10,10,10,10,10,1058,34,West
2504685,Yvette,2012,5/30,5/30/12,5.12,627628,Oud-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1092,Netherlands,52.35749328,4.923661554,Apartment,Entire home/apt,2,1,2,1,Real Bed,110,2,20,1,10,110,110,"1,100",a few days or more,0.11,5,93,9,10,10,10,10,10,1092,61,East
2517148,Anna,2012,6/1,6/1/12,5.12,510912,Centrum-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1016 PV,Netherlands,52.37317365,4.879928071,Apartment,Entire home/apt,2,1,1,1,Real Bed,99,1,0,3,124,99,297,"36,828",within a day,0.77,62,90,9,9,9,9,10,9,1016,9,City Center
2525863,Eric,2012,6/2,6/2/12,5.11,543561,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1018 LP,Netherlands,52.37130741,4.922114819,Apartment,Entire home/apt,2,1,0,1,Real Bed,79,1,0,2,12,79,158,"1,896",within a day,0.8,6,100,9,10,10,10,8,8,1018,11,City Center
2531171,Boat People,2012,6/3,6/3/12,5.11,513743,Oostelijk Havengebied - Indische Buurt,Amsterdam,Amsterdam,North Holland,North Holland,1019,Netherlands,52.37593322,4.9398041600000004,Boat,Entire home/apt,9,2.5,5,9,Real Bed,350,6,25,7,24,350,"2,450","58,800",within a day,1,12,96,10,9,10,10,9,9,1019,12,City Center
2531171,Boat People,2012,6/3,6/3/12,5.11,578386,Oostelijk Havengebied - Indische Buurt,Amsterdam,Amsterdam,North Holland,North Holland,1019,Netherlands,52.37655596,4.940934981,Boat,Entire home/apt,7,2,3,5,Real Bed,200,4,15,7,24,200,"1,400","33,600",within a few hours,1,12,98,10,10,10,10,9,9,1019,12,City Center
2531171,Boat People,2012,6/3,6/3/12,5.11,638555,Oostelijk Havengebied - Indische Buurt,Amsterdam,Amsterdam,North Holland,North Holland,1019 BD,Netherlands,52.37697308,4.941492407,Boat,Entire home/apt,7,1.5,3,6,Real Bed,250,4,15,7,6,250,"1,750","10,500",within a day,1,3,98,9,10,10,10,9,10,1019,12,City Center
2531171,Boat People,2012,6/3,6/3/12,5.11,1905423,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1074 JH,Netherlands,52.35275966,4.908623096,Boat,Entire home/apt,6,3,3,4,Real Bed,210,4,20,6,26,210,"1,260","32,760",within a few hours,1,13,94,10,9,10,10,9,9,1074,49,South
2531171,Boat People,2012,6/3,6/3/12,5.11,578355,Oostelijk Havengebied - Indische Buurt,Amsterdam,Amsterdam,North Holland,North Holland,1019 BG,Netherlands,52.37574445,4.941569431,Boat,Entire home/apt,4,1,2,1,Real Bed,100,2,18,7,4,100,700,"2,800",within a few hours,1,2,100,10,9,10,10,10,10,1019,12,City Center
2531171,Boat People,2012,6/3,6/3/12,5.11,1350408,Oostelijk Havengebied - Indische Buurt,Amsterdam,Amsterdam,North Holland,North Holland,1019 BD,Netherlands,52.37529428,4.93905752,Boat,Entire home/apt,3,1,2,2,Real Bed,70,2,12,7,12,70,490,"5,880",within a day,1,6,87,9,9,10,10,8,9,1019,12,City Center
2531171,Boat People,2012,6/3,6/3/12,5.11,555301,Oostelijk Havengebied - Indische Buurt,Amsterdam,Amsterdam,North Holland,North Holland,1019,Netherlands,52.37683367,4.942007042,Boat,Entire home/apt,3,1,1,2,Real Bed,110,2,15,7,2,110,770,"1,540",within a day,1,1,80,10,6,10,10,6,8,1019,12,City Center
2532413,Noud,2012,6/3,6/3/12,5.11,514199,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1015,Netherlands,52.37871119,4.883406886,Apartment,Entire home/apt,4,1,1,2,Real Bed,110,2,30,2,226,110,220,"49,720",within an hour,1,113,94,10,10,10,10,10,9,1015,8,City Center
2536745,Laurens,2012,6/3,6/3/12,5.11,515060,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016,Netherlands,52.37141152,4.889908239,Apartment,Entire home/apt,3,1,2,2,Real Bed,220,2,30,4,44,220,880,"38,720",within a few hours,1,22,96,10,10,10,10,10,10,1016,9,City Center
2539835,Marie,2012,6/4,6/4/12,5.11,1408035,De Aker - Nieuw Sloten,Amsterdam,Amsterdam,North Holland,North Holland,1066 WS,Netherlands,52.34403016,4.804185768,House,Entire home/apt,5,1.5,2,5,Real Bed,100,4,25,5,18,100,500,"9,000",within a few hours,1,9,96,10,10,10,9,8,9,1066,42,West
2540315,Femke,2012,6/4,6/4/12,5.11,1648314,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1052 CN,Netherlands,52.38158342,4.878802059,Apartment,Entire home/apt,2,1,1,1,Real Bed,135,1,0,1,2,135,135,270,within a day,0.64,1,100,10,10,10,10,10,10,1052,28,West
2540480,Derk,2012,6/4,6/4/12,5.11,515749,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36057273,4.896316922,Boat,Entire home/apt,3,1,1,1,Real Bed,125,2,30,2,254,125,250,"63,500",within an hour,1,127,97,10,9,10,10,10,10,1017,10,City Center
2541099,Anne-Marie,2012,6/4,6/4/12,5.11,515921,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1075 VM,Netherlands,52.35088516,4.853517303,Apartment,Entire home/apt,2,1,1,1,Real Bed,105,2,25,2,64,105,210,"13,440",within a day,0.69,32,87,9,8,9,9,9,8,1075,50,South
2541713,Annelotte,2012,6/4,6/4/12,5.11,5148662,De Baarsjes - Oud-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1053 LD,Netherlands,52.3665841,4.873276718,Apartment,Entire home/apt,4,1,1,2,Real Bed,150,1,0,2,6,150,300,"1,800",within a few hours,1,3,100,10,10,10,10,10,10,1053,29,West
2542800,No��lle,2012,6/4,6/4/12,5.11,516482,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.38873785,4.884372427,Apartment,Entire home/apt,3,1,1,2,Real Bed,75,2,25,7,18,75,525,"9,450",within a day,0.7,9,90,9,7,10,9,10,8,1013,6,City Center
2546349,Carina,2012,6/4,6/4/12,5.11,2050371,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1019 BX,Netherlands,52.37305919,4.930362759,Apartment,Entire home/apt,4,1,2,4,Real Bed,130,1,0,2,14,130,260,"3,640",within a day,0.5,7,94,9,9,9,10,10,9,1019,12,City Center
2547237,Stefanie,2012,6/4,6/4/12,5.11,2896769,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1052 KP,Netherlands,52.3751694,4.874946067,Apartment,Entire home/apt,6,1.5,2,3,Real Bed,250,4,50,1,18,250,250,"4,500",within a few hours,0.91,9,100,10,10,10,10,10,9,1052,28,West
2550339,Aemilia,2012,6/5,6/5/12,5.11,517996,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1015,Netherlands,52.3781296,4.885936764,Apartment,Entire home/apt,2,1,1,1,Real Bed,220,1,0,2,20,220,440,"8,800",within a day,0.53,10,94,10,9,9,9,10,9,1015,8,City Center
2550542,Jorg,2012,6/5,6/5/12,5.11,518038,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36329062,4.887617021,Apartment,Entire home/apt,2,1,1,1,Real Bed,170,1,0,3,32,170,510,"16,320",within a few hours,1,16,97,10,10,10,10,10,10,1017,10,City Center
2551509,Sem,2012,6/5,6/5/12,5.11,591348,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1054,Netherlands,52.36216055,4.87474226,Apartment,Private room,2,1.5,1,1,Real Bed,54,1,0,1,354,54,54,"19,116",within a day,0.83,177,96,10,10,10,10,10,9,1054,30,West
2551509,Sem,2012,6/5,6/5/12,5.11,518309,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1054,Netherlands,52.36247149,4.873385596,Apartment,Private room,2,1.5,1,1,Real Bed,54,1,0,1,444,54,54,"23,976",within a day,0.82,222,96,10,10,10,10,10,9,1054,30,West
2554245,Bennie,2012,6/5,6/5/12,5.11,524426,Oud-Noord,Amsterdam,Amsterdam,North Holland,North Holland,1023,Netherlands,52.38798745,4.943456351,Apartment,Entire home/apt,4,1,1,2,Real Bed,115,2,10,2,68,115,230,"15,640",within an hour,1,34,94,10,10,10,10,9,9,1023,15,North
2559901,Rik & Tiel,2012,6/6,6/6/12,5.1,4633688,Centrum-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1013 LM,Netherlands,52.3867412,4.887755116,Apartment,Entire home/apt,4,1,2,2,Real Bed,285,2,90,2,2,285,570,"1,140",within a few hours,1,1,100,10,10,10,10,10,10,1013,6,City Center
2560884,Linea,2012,6/6,6/6/12,5.1,546089,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1079,Netherlands,52.34309758,4.912227274,Apartment,Entire home/apt,4,1,2,4,Real Bed,98,2,15,3,196,98,294,"57,624",within a day,0.8,98,94,9,9,10,10,9,9,1079,54,South
2564752,Nienke & Jeroen,2012,6/6,6/6/12,5.1,597731,Bos en Lommer,Amsterdam,Amsterdam,North Holland,North Holland,1055,Netherlands,52.37969233,4.854549989,Apartment,Entire home/apt,4,2,3,2,Real Bed,99,2,30,6,12,99,594,"7,128",within a day,1,6,98,9,10,10,10,10,10,1055,31,West
2565587,Tim,2012,6/6,6/6/12,5.1,1707999,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1051 EV,Netherlands,52.38444374,4.873310438,Apartment,Entire home/apt,4,1,2,4,Real Bed,200,0,0,3,8,200,600,"4,800",within a few hours,0.9,4,90,10,10,10,10,9,9,1051,27,West
2565587,Tim,2012,6/6,6/6/12,5.1,1957759,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1051 EV,Netherlands,52.38490216,4.874056709,Apartment,Private room,2,1,1,2,Real Bed,60,0,15,2,30,75,150,"4,500",within a few hours,0.9,15,93,9,10,10,10,9,9,1051,27,West
2567074,Thomas,2012,6/6,6/6/12,5.1,615488,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1072,Netherlands,52.34868718,4.895014869,Apartment,Entire home/apt,4,1,2,2,Real Bed,160,2,40,2,22,160,320,"7,040",within a day,0.64,11,98,10,10,10,10,10,10,1072,47,South
2569901,Ruth,2012,6/7,6/7/12,5.1,572105,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1057,Netherlands,52.36782303,4.857678017,Apartment,Entire home/apt,4,1,1,1,Real Bed,100,2,25,2,34,100,200,"6,800",within a few hours,1,17,99,10,9,10,10,9,9,1057,33,West
2569931,Harriet,2012,6/7,6/7/12,5.1,522471,Bos en Lommer,Amsterdam,Amsterdam,North Holland,North Holland,1055,Netherlands,52.3776155,4.852851345,Apartment,Entire home/apt,5,1,3,2,Real Bed,135,1,0,6,16,135,810,"12,960",N/A,N/A,8,99,10,10,10,10,10,10,1055,31,West
2570850,Lieke,2012,6/7,6/7/12,5.1,929281,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1057,Netherlands,52.36628939,4.857891766,Apartment,Entire home/apt,2,1,1,1,Real Bed,74,1,10,2,32,84,168,"5,376",within an hour,1,16,92,9,10,10,10,9,9,1057,33,West
2571080,Lysan,2012,6/7,6/7/12,5.1,1153117,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1052 ED,Netherlands,52.37272792,4.87414687,Apartment,Entire home/apt,2,1,1,1,Real Bed,93,1,0,2,228,93,186,"42,408",within an hour,1,114,91,9,9,10,10,10,9,1052,28,West
